chart_image_url,claim_text
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/chartQA_multi_col_60912-test.png,The male population of Tunisia in 2019 was 5.8 million.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/plotQA_23071-test.png,The enrollment rates in primary and secondary education may have been influenced by various socio-economic factors that are not detailed in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/plotQA_29479-test.png,The number of bars on each tick of the X-axis varies significantly.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/chartQA_65934022004372-test.png,"The total population in Africa, North America, and South America exceeds that of Europe."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/chartQA_two_col_83203-test.png,Only 60% of Apple customers reported being very satisfied.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/plotQA_1467-test.png,The label of the X-axis is 'Years'.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/plotQA_21579-test.png,"The presence of grids in the graph may indicate a structured approach to data representation, but it does not clarify the specific trends or implications of the data presented."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/chartQA_two_col_102898-test.png,The revenue share of Michael Kors may be influenced by factors such as market trends or consumer preferences that are not detailed in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/chartQA_56783352006090-test.png,South Sudan has the lowest access to electricity over the years compared to other countries.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/plotQA_1178-test.png,The difference between the highest and the lowest total amount earned by exporting goods and services in Uganda is only 1234567.89.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_55737-train.png,The performance of Chartreuse may vary under different conditions or contexts.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_37698-train.png,There are only 2 bars on the 2nd tick from the top.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_2248-train.png,"In 2025, it is forecasted that 1.4 million housing transactions will occur."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_2031-train.png,"The value of the United States in dollars in 2020 was 23,738 billion."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_139568-train.png,The overall trends in labor force participation rates for different regions may vary significantly due to economic conditions that are not represented in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_29819-train.png,"The chart may not provide a complete view of the trade dynamics, as it does not specify the categories of goods and services involved."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_4043-train.png,Florida's GDP in the previous year was only 901.9 dollars.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_96310-train.png,Web Maroon is the roughest among the colors represented.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_80487-train.png,Cadet Blue does not intersect Olive Drab.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_100696-train.png,The number of enterprises manufacturing domestic appliances in the Czech Republic may vary significantly based on economic conditions and market demand.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_96216-train.png,Green has the highest value among all categories.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_86304-train.png,The absence of grid lines in the graph may affect the clarity of the data representation.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_4713-train.png,ArcelorMittal generated 53.27 billion U.S. dollars in revenue in the fiscal year of 2020.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_49754-train.png,All the bars in the graph are vertical.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_61763-train.png,The total spirits imported into the UK from all countries in 2020 may have significantly influenced the import value from France.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_40805-train.png,17.6 percent of respondents used Wayne-Dalton garage doors the most.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_101809-train.png,The data does not clarify whether the fluctuations in merchandise exports were influenced by external economic factors or domestic policies in 2007.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_104074-train.png,The number of individuals on the liver transplant waiting list may fluctuate due to various factors such as changes in healthcare policies or population health trends.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_133988-train.png,"Across all countries, the minimum ppp conversion factor for private consumption is 0.123456789."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_126784-train.png,The trends in HIV infection rates for females in Suriname and Swaziland may be influenced by various external factors that are not represented in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_66119-train.png,Crimson is greater than Blue Violet.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_104070-train.png,The capital expenditure in Saskatchewan may have been influenced by various economic factors in 2018.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_63032-train.png,Dark Khaki does not have the highest value.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_21874-train.png,The decline in teenage conceptions may be influenced by various social and educational factors that are not detailed in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_41193-train.png,"Throughout the years, the minimum net official aid received in St. Kitts and Nevis was 2000000.0."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_61350-train.png,"Switzerland's import value in U.S. dollars in 2019 was only 10,000."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_22311-train.png,"The youth unemployment rate in Swaziland was 46.12% in 2019, indicating a significant decrease from previous years."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_61921-train.png,Cineplex's revenue for the first quarter of 2021 was only 25 million Canadian dollars.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_131728-train.png,The difference between two consecutive major ticks on the Y-axis is 5.0.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_103743-train.png,"In 2013, the total water productivity of Afghanistan is greater than 0.30000000000000004 US$."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_28366-train.png,The graph clearly indicates that low and middle-income countries are represented as significant contributors in the aid flow data.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_43103-train.png,The revenue figures for the managed security services market may have been influenced by external factors such as economic conditions or technological advancements during 2014.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_8347-train.png,The difference between the highest and the lowest percentage of total merchandise exports in Uruguay is 1.9291992575408452.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_103445-train.png,"The total loan value in 2020 was only 300,000."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_100130-train.png,"The global orthopedic orthotics market is projected to decline to 2,500 million U.S. dollars by the year 2023."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_multi_col_20204-train.png,The total number of suicides may have been influenced by various social and economic factors in 2009.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_2514-train.png,31.8 percent of the Australian population lived in New South Wales.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_82289-train.png,"The average exchange rate from Indonesian rupiah to Australian dollars in 2020 was 10,771."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_145467-train.png,There are only 2 bars on the 2nd tick from the right.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_40066-train.png,The label of the 2nd group of bars from the top is Female entrants.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_98527-train.png,The graph shows that the rural population growth in Sub-Saharan Africa has consistently increased over the years.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_92173-train.png,The absence of Senegal in the graph may indicate that it was not included in the dataset used for this analysis.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_99631-train.png,The difference between two consecutive major ticks on the Y-axis is 5000000.0.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_100763-train.png,Mexico's fossil CO emissions were only 3.50 metric tons per person in 2017.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_82199-train.png,The overall trend of the values for Light Gold may be influenced by other factors not represented in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_13192-train.png,There are 3 different coloured dotlines in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_58019-train.png,"In 3 years, the percentage of rural population growth in Lower middle income is less than the average percentage of rural population growth in Lower middle income taken over all years."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_103922-train.png,The decline in customers for Yellow Pages Canada may have been influenced by changes in market demand or competition in 2020.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_23322-train.png,"The chart indicates that Dark Orange occupies a significant portion, but it is unclear how this compares to other categories over time."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_99722-train.png,The trends of Dark Gold and Turquoise may vary significantly at different intervals.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_56247-train.png,The performance of Olive and Firebrick may vary under different conditions or metrics.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_47197-train.png,The label of the X-axis is 'Educated males (% of male labor force)'.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_127221-train.png,The percentage of economically active children in Mongolia may have varied significantly across different regions in 2012.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_42887-train.png,Samsung made 240 million U.S. dollars in the United States in 2013.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_148613-train.png,The difference between the value lost due to electrical outages in 2006 and 2009 is 0.6.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_42962-train.png,Green Yellow is greater than Orchid.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_90769-train.png,Dodger Blue does not have the minimum area under the curve.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_140860-train.png,The percentage of value added in manufacturing food and tobacco in Sri Lanka may fluctuate significantly due to various economic factors over the years.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_63892-train.png,Dark Violet is the roughest color in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_43461-train.png,The overall distribution of colors in the chart does not clarify the relative standing of Medium Seafoam compared to other colors.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_26296-train.png,There is only one color bar represented in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_43249-train.png,Hot Pink is less than Teal.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_154195-train.png,The graph shows data for only 4 years.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_42313-train.png,The total expenditure on alcoholic drinks in 2020 may have been influenced by various factors such as changes in consumer behavior or economic conditions.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_24638-train.png,"In 2019, China exported only 8,000 million U.S. dollars worth of textile yarn to the rest of the world."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_123057-train.png,The percentage of urban populations with access to drinking water may have varied significantly across different regions in the years shown.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_791-train.png,The average player salary in Toronto FC in 2019 was 758.35 dollars.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_37961-train.png,Olive is not the maximum.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_103205-train.png,"The amount spent on contract policing for the Royal Canadian Mounted Police in 2018/19 was 3,500.00."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_36612-train.png,The percentage of the labor force with tertiary education may vary significantly based on economic conditions and job market demands each year.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_41382-train.png,The train station with the highest annual number of passengers as of 2020 was Roma Termini.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_4965-train.png,Nike began providing uniforms and apparel to all 32 NFL teams in 2012.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_156791-train.png,The amount of fertilizer consumption per hectare of arable land in Algeria was minimum in 2008.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_51171-train.png,Steel Blue has the highest median value among the colors.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_41979-train.png,The number of bars on each tick of the Y-axis is equal.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_20856-train.png,The comparison between Cornflower and Light Slate may vary under different conditions or contexts.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_19952-train.png,Dark Cyan is not the low median.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_34683-train.png,Deep Pink is the minimum value in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_40908-train.png,The Consumer Price Index may have experienced fluctuations due to various economic factors leading up to April 2021.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/chartQA_two_col_22614-train.png,Citroen had a monthly market share of 1.64 in the UK between January 2017 and December 2020.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/val/png/plotQA_20471-val.png,The CPIA rating of social protection in 2008 is not less than that in 2012.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/val/png/plotQA_27994-val.png,The total calories required to address undernourishment may vary significantly based on factors such as local dietary habits and agricultural productivity.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/val/png/chartQA_multi_col_40930-val.png,"In 2020, the expected spend for online was above 5 billion GBP."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/val/png/chartQA_two_col_43627-val.png,The expenses of the Green Bay Packers in 2017 amounted to 400.0 million.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/val/png/chartQA_two_col_20869-val.png,"The profit contributions from regions other than South America may vary significantly, affecting the overall profit distribution."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/val/png/chartQA_two_col_43066-val.png,The overall satisfaction of users with search engines in 2020 may have varied significantly based on individual experiences and preferences.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/val/png/plotQA_20477-val.png,The values on the major ticks of the Y-axis are written in scientific E-notation.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/val/png/chartQA_multi_col_20676-val.png,"In 2014, 20.7 million smart home devices were sold to dealers in the United States."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/val/png/plotQA_19779-val.png,The percentage of male workers in industry in 1986 was only 30.5%.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/val/png/plotQA_4212-val.png,The total grants received by the government in Cote d'Ivoire is 548650000 US dollars.
